Results for maxStreak = 1, repetitions = 100000


{'teams': 4, 'avg_no_repeat': 6.6868, 'min_no_repeat': 0, 'max_no_repeat': 20, 'avg_max_streak': 9.99688, 'min_max_streak': 0, 'max_max_streak': 20, 'avg_drr': 8.03476, 'min_drr': 0, 'max_drr': 20, 'total_no_repeat': 668680, 'total_max_streak': 999688, 'total_drr': 803476, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 6, 'avg_no_repeat': 10.79924, 'min_no_repeat': 0, 'max_no_repeat': 38, 'avg_max_streak': 26.98018, 'min_max_streak': 10, 'max_max_streak': 44, 'avg_drr': 20.91512, 'min_drr': 6, 'max_drr': 38, 'total_no_repeat': 1079924, 'total_max_streak': 2698018, 'total_drr': 2091512, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 8, 'avg_no_repeat': 14.84794, 'min_no_repeat': 0, 'max_no_repeat': 48, 'avg_max_streak': 52.00012, 'min_max_streak': 26, 'max_max_streak': 74, 'avg_drr': 39.6781, 'min_drr': 20, 'max_drr': 58, 'total_no_repeat': 1484794, 'total_max_streak': 5200012, 'total_drr': 3967810, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 10, 'avg_no_repeat': 18.9032, 'min_no_repeat': 0, 'max_no_repeat': 50, 'avg_max_streak': 84.96696, 'min_max_streak': 56, 'max_max_streak': 116, 'avg_drr': 64.34722, 'min_drr': 40, 'max_drr': 92, 'total_no_repeat': 1890320, 'total_max_streak': 8496696, 'total_drr': 6434722, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 12, 'avg_no_repeat': 22.88384, 'min_no_repeat': 2, 'max_no_repeat': 54, 'avg_max_streak': 125.9961, 'min_max_streak': 88, 'max_max_streak': 160, 'avg_drr': 94.89856, 'min_drr': 64, 'max_drr': 126, 'total_no_repeat': 2288384, 'total_max_streak': 12599610, 'total_drr': 9489856, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 14, 'avg_no_repeat': 26.95848, 'min_no_repeat': 2, 'max_no_repeat': 66, 'avg_max_streak': 175.01014, 'min_max_streak': 134, 'max_max_streak': 220, 'avg_drr': 131.30244, 'min_drr': 96, 'max_drr': 166, 'total_no_repeat': 2695848, 'total_max_streak': 17501014, 'total_drr': 13130244, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 16, 'avg_no_repeat': 30.93588, 'min_no_repeat': 4, 'max_no_repeat': 74, 'avg_max_streak': 232.02974, 'min_max_streak': 184, 'max_max_streak': 278, 'avg_drr': 173.5679, 'min_drr': 124, 'max_drr': 220, 'total_no_repeat': 3093588, 'total_max_streak': 23202974, 'total_drr': 17356790, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 18, 'avg_no_repeat': 34.93822, 'min_no_repeat': 4, 'max_no_repeat': 74, 'avg_max_streak': 296.97668, 'min_max_streak': 246, 'max_max_streak': 358, 'avg_drr': 221.79726, 'min_drr': 176, 'max_drr': 272, 'total_no_repeat': 3493822, 'total_max_streak': 29697668, 'total_drr': 22179726, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 20, 'avg_no_repeat': 38.89258, 'min_no_repeat': 8, 'max_no_repeat': 82, 'avg_max_streak': 370.04358, 'min_max_streak': 310, 'max_max_streak': 432, 'avg_drr': 275.96542, 'min_drr': 226, 'max_drr': 330, 'total_no_repeat': 3889258, 'total_max_streak': 37004358, 'total_drr': 27596542, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 22, 'avg_no_repeat': 42.93138, 'min_no_repeat': 8, 'max_no_repeat': 92, 'avg_max_streak': 450.98026, 'min_max_streak': 386, 'max_max_streak': 524, 'avg_drr': 335.88014, 'min_drr': 282, 'max_drr': 398, 'total_no_repeat': 4293138, 'total_max_streak': 45098026, 'total_drr': 33588014, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 24, 'avg_no_repeat': 46.96728, 'min_no_repeat': 12, 'max_no_repeat': 96, 'avg_max_streak': 539.99948, 'min_max_streak': 472, 'max_max_streak': 614, 'avg_drr': 401.6474, 'min_drr': 340, 'max_drr': 462, 'total_no_repeat': 4696728, 'total_max_streak': 53999948, 'total_drr': 40164740, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 26, 'avg_no_repeat': 50.98522, 'min_no_repeat': 10, 'max_no_repeat': 104, 'avg_max_streak': 637.0912, 'min_max_streak': 558, 'max_max_streak': 716, 'avg_drr': 473.38568, 'min_drr': 400, 'max_drr': 542, 'total_no_repeat': 5098522, 'total_max_streak': 63709120, 'total_drr': 47338568, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 28, 'avg_no_repeat': 55.02406, 'min_no_repeat': 16, 'max_no_repeat': 102, 'avg_max_streak': 741.92424, 'min_max_streak': 658, 'max_max_streak': 836, 'avg_drr': 551.10378, 'min_drr': 482, 'max_drr': 628, 'total_no_repeat': 5502406, 'total_max_streak': 74192424, 'total_drr': 55110378, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 30, 'avg_no_repeat': 58.95816, 'min_no_repeat': 20, 'max_no_repeat': 110, 'avg_max_streak': 854.9338, 'min_max_streak': 760, 'max_max_streak': 950, 'avg_drr': 634.51588, 'min_drr': 552, 'max_drr': 710, 'total_no_repeat': 5895816, 'total_max_streak': 85493380, 'total_drr': 63451588, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 32, 'avg_no_repeat': 63.0076, 'min_no_repeat': 22, 'max_no_repeat': 118, 'avg_max_streak': 976.05926, 'min_max_streak': 878, 'max_max_streak': 1076, 'avg_drr': 724.0246, 'min_drr': 642, 'max_drr': 816, 'total_no_repeat': 6300760, 'total_max_streak': 97605926, 'total_drr': 72402460, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 34, 'avg_no_repeat': 66.95496, 'min_no_repeat': 24, 'max_no_repeat': 122, 'avg_max_streak': 1104.92138, 'min_max_streak': 996, 'max_max_streak': 1212, 'avg_drr': 819.24798, 'min_drr': 728, 'max_drr': 906, 'total_no_repeat': 6695496, 'total_max_streak': 110492138, 'total_drr': 81924798, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 36, 'avg_no_repeat': 70.98342, 'min_no_repeat': 24, 'max_no_repeat': 124, 'avg_max_streak': 1241.95336, 'min_max_streak': 1124, 'max_max_streak': 1352, 'avg_drr': 920.35144, 'min_drr': 818, 'max_drr': 1014, 'total_no_repeat': 7098342, 'total_max_streak': 124195336, 'total_drr': 92035144, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 38, 'avg_no_repeat': 75.0081, 'min_no_repeat': 28, 'max_no_repeat': 134, 'avg_max_streak': 1387.05876, 'min_max_streak': 1270, 'max_max_streak': 1512, 'avg_drr': 1027.62428, 'min_drr': 926, 'max_drr': 1132, 'total_no_repeat': 7500810, 'total_max_streak': 138705876, 'total_drr': 102762428, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 40, 'avg_no_repeat': 78.9812, 'min_no_repeat': 28, 'max_no_repeat': 148, 'avg_max_streak': 1540.10496, 'min_max_streak': 1422, 'max_max_streak': 1658, 'avg_drr': 1140.4697, 'min_drr': 1040, 'max_drr': 1252, 'total_no_repeat': 7898120, 'total_max_streak': 154010496, 'total_drr': 114046970, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 42, 'avg_no_repeat': 82.93994, 'min_no_repeat': 28, 'max_no_repeat': 146, 'avg_max_streak': 1701.02336, 'min_max_streak': 1574, 'max_max_streak': 1832, 'avg_drr': 1259.21638, 'min_drr': 1148, 'max_drr': 1400, 'total_no_repeat': 8293994, 'total_max_streak': 170102336, 'total_drr': 125921638, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 44, 'avg_no_repeat': 86.94138, 'min_no_repeat': 34, 'max_no_repeat': 150, 'avg_max_streak': 1869.90434, 'min_max_streak': 1742, 'max_max_streak': 1998, 'avg_drr': 1383.9652, 'min_drr': 1278, 'max_drr': 1498, 'total_no_repeat': 8694138, 'total_max_streak': 186990434, 'total_drr': 138396520, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 46, 'avg_no_repeat': 90.9335, 'min_no_repeat': 36, 'max_no_repeat': 154, 'avg_max_streak': 2047.0669, 'min_max_streak': 1912, 'max_max_streak': 2196, 'avg_drr': 1514.55998, 'min_drr': 1388, 'max_drr': 1634, 'total_no_repeat': 9093350, 'total_max_streak': 204706690, 'total_drr': 151455998, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 48, 'avg_no_repeat': 94.96434, 'min_no_repeat': 38, 'max_no_repeat': 160, 'avg_max_streak': 2232.07338, 'min_max_streak': 2076, 'max_max_streak': 2370, 'avg_drr': 1650.9713, 'min_drr': 1508, 'max_drr': 1790, 'total_no_repeat': 9496434, 'total_max_streak': 223207338, 'total_drr': 165097130, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 50, 'avg_no_repeat': 99.00724, 'min_no_repeat': 38, 'max_no_repeat': 166, 'avg_max_streak': 2424.84684, 'min_max_streak': 2284, 'max_max_streak': 2578, 'avg_drr': 1793.4378, 'min_drr': 1652, 'max_drr': 1924, 'total_no_repeat': 9900724, 'total_max_streak': 242484684, 'total_drr': 179343780, 'valid_count': 0, 'valid_percentage': 0.0}
