Results for maxStreak = 6, repetitions = 100000

{'teams': 4, 'avg_no_repeat': 6.66464, 'min_no_repeat': 0, 'max_no_repeat': 20, 'avg_max_streak': 0.0, 'min_max_streak': 0, 'max_max_streak': 0, 'avg_drr': 8.04248, 'min_drr': 0, 'max_drr': 20, 'total_no_repeat': 666464, 'total_max_streak': 0, 'total_drr': 804248, 'valid_count': 55, 'valid_percentage': 0.055}
{'teams': 6, 'avg_no_repeat': 10.82134, 'min_no_repeat': 0, 'max_no_repeat': 38, 'avg_max_streak': 0.37265, 'min_max_streak': 0, 'max_max_streak': 10, 'avg_drr': 20.9249, 'min_drr': 6, 'max_drr': 38, 'total_no_repeat': 1082134, 'total_max_streak': 37265, 'total_drr': 2092490, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 8, 'avg_no_repeat': 14.89344, 'min_no_repeat': 0, 'max_no_repeat': 46, 'avg_max_streak': 1.00422, 'min_max_streak': 0, 'max_max_streak': 18, 'avg_drr': 39.70892, 'min_drr': 20, 'max_drr': 60, 'total_no_repeat': 1489344, 'total_max_streak': 100422, 'total_drr': 3970892, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 10, 'avg_no_repeat': 18.8724, 'min_no_repeat': 0, 'max_no_repeat': 58, 'avg_max_streak': 1.87602, 'min_max_streak': 0, 'max_max_streak': 23, 'avg_drr': 64.3498, 'min_drr': 40, 'max_drr': 90, 'total_no_repeat': 1887240, 'total_max_streak': 187602, 'total_drr': 6434980, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 12, 'avg_no_repeat': 22.9352, 'min_no_repeat': 0, 'max_no_repeat': 58, 'avg_max_streak': 3.00975, 'min_max_streak': 0, 'max_max_streak': 26, 'avg_drr': 94.90864, 'min_drr': 66, 'max_drr': 130, 'total_no_repeat': 2293520, 'total_max_streak': 300975, 'total_drr': 9490864, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 14, 'avg_no_repeat': 26.89356, 'min_no_repeat': 0, 'max_no_repeat': 66, 'avg_max_streak': 4.3597, 'min_max_streak': 0, 'max_max_streak': 33, 'avg_drr': 131.26644, 'min_drr': 92, 'max_drr': 172, 'total_no_repeat': 2689356, 'total_max_streak': 435970, 'total_drr': 13126644, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 16, 'avg_no_repeat': 30.94476, 'min_no_repeat': 2, 'max_no_repeat': 70, 'avg_max_streak': 6.00576, 'min_max_streak': 0, 'max_max_streak': 35, 'avg_drr': 173.59686, 'min_drr': 132, 'max_drr': 216, 'total_no_repeat': 3094476, 'total_max_streak': 600576, 'total_drr': 17359686, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 18, 'avg_no_repeat': 34.9006, 'min_no_repeat': 4, 'max_no_repeat': 76, 'avg_max_streak': 7.8757, 'min_max_streak': 0, 'max_max_streak': 39, 'avg_drr': 221.76454, 'min_drr': 176, 'max_drr': 276, 'total_no_repeat': 3490060, 'total_max_streak': 787570, 'total_drr': 22176454, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 20, 'avg_no_repeat': 38.98056, 'min_no_repeat': 6, 'max_no_repeat': 84, 'avg_max_streak': 10.00871, 'min_max_streak': 0, 'max_max_streak': 47, 'avg_drr': 275.86752, 'min_drr': 222, 'max_drr': 332, 'total_no_repeat': 3898056, 'total_max_streak': 1000871, 'total_drr': 27586752, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 48, 'avg_no_repeat': 94.99864, 'min_no_repeat': 42, 'max_no_repeat': 160, 'avg_max_streak': 66.03343, 'min_max_streak': 21, 'max_max_streak': 136, 'avg_drr': 1651.03612, 'min_drr': 1520, 'max_drr': 1780, 'total_no_repeat': 9499864, 'total_max_streak': 6603343, 'total_drr': 165103612, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 22, 'avg_no_repeat': 42.93566, 'min_no_repeat': 10, 'max_no_repeat': 90, 'avg_max_streak': 12.38128, 'min_max_streak': 0, 'max_max_streak': 46, 'avg_drr': 335.832, 'min_drr': 278, 'max_drr': 394, 'total_no_repeat': 4293566, 'total_max_streak': 1238128, 'total_drr': 33583200, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 24, 'avg_no_repeat': 47.01282, 'min_no_repeat': 12, 'max_no_repeat': 96, 'avg_max_streak': 14.99329, 'min_max_streak': 0, 'max_max_streak': 57, 'avg_drr': 401.64766, 'min_drr': 334, 'max_drr': 464, 'total_no_repeat': 4701282, 'total_max_streak': 1499329, 'total_drr': 40164766, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 26, 'avg_no_repeat': 50.96776, 'min_no_repeat': 14, 'max_no_repeat': 98, 'avg_max_streak': 17.92544, 'min_max_streak': 0, 'max_max_streak': 64, 'avg_drr': 473.49732, 'min_drr': 406, 'max_drr': 544, 'total_no_repeat': 5096776, 'total_max_streak': 1792544, 'total_drr': 47349732, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 50, 'avg_no_repeat': 98.96534, 'min_no_repeat': 44, 'max_no_repeat': 162, 'avg_max_streak': 71.89866, 'min_max_streak': 23, 'max_max_streak': 146, 'avg_drr': 1793.55324, 'min_drr': 1664, 'max_drr': 1922, 'total_no_repeat': 9896534, 'total_max_streak': 7189866, 'total_drr': 179355324, 'valid_count': 0, 'valid_percentage': 0.0}
