Results for maxStreak = 3, noRepeat = 2, repetitions = 100000

{'teams': 4, 'avg_no_repeat': 0.43856, 'min_no_repeat': 0, 'max_no_repeat': 12, 'avg_max_streak': 1.50448, 'min_max_streak': 0, 'max_max_streak': 12, 'avg_drr': 8.0315, 'min_drr': 0, 'max_drr': 18, 'total_no_repeat': 43856, 'total_max_streak': 150448, 'total_drr': 803150, 'valid_count': 191, 'valid_percentage': 0.191}
{'teams': 6, 'avg_no_repeat': 0.33806, 'min_no_repeat': 0, 'max_no_repeat': 20, 'avg_max_streak': 5.23296, 'min_max_streak': 0, 'max_max_streak': 25, 'avg_drr': 20.92312, 'min_drr': 6, 'max_drr': 36, 'total_no_repeat': 33806, 'total_max_streak': 523296, 'total_drr': 2092312, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 8, 'avg_no_repeat': 0.2578, 'min_no_repeat': 0, 'max_no_repeat': 12, 'avg_max_streak': 11.0004, 'min_max_streak': 0, 'max_max_streak': 39, 'avg_drr': 39.68742, 'min_drr': 18, 'max_drr': 60, 'total_no_repeat': 25780, 'total_max_streak': 1100040, 'total_drr': 3968742, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 10, 'avg_no_repeat': 0.20308, 'min_no_repeat': 0, 'max_no_repeat': 14, 'avg_max_streak': 18.74499, 'min_max_streak': 1, 'max_max_streak': 52, 'avg_drr': 64.31084, 'min_drr': 38, 'max_drr': 90, 'total_no_repeat': 20308, 'total_max_streak': 1874499, 'total_drr': 6431084, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 12, 'avg_no_repeat': 0.1703, 'min_no_repeat': 0, 'max_no_repeat': 10, 'avg_max_streak': 28.47185, 'min_max_streak': 4, 'max_max_streak': 71, 'avg_drr': 94.90746, 'min_drr': 60, 'max_drr': 126, 'total_no_repeat': 17030, 'total_max_streak': 2847185, 'total_drr': 9490746, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 14, 'avg_no_repeat': 0.14474, 'min_no_repeat': 0, 'max_no_repeat': 8, 'avg_max_streak': 40.28785, 'min_max_streak': 7, 'max_max_streak': 89, 'avg_drr': 131.3413, 'min_drr': 96, 'max_drr': 168, 'total_no_repeat': 14474, 'total_max_streak': 4028785, 'total_drr': 13134130, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 16, 'avg_no_repeat': 0.12844, 'min_no_repeat': 0, 'max_no_repeat': 8, 'avg_max_streak': 54.00139, 'min_max_streak': 16, 'max_max_streak': 105, 'avg_drr': 173.56902, 'min_drr': 132, 'max_drr': 216, 'total_no_repeat': 12844, 'total_max_streak': 5400139, 'total_drr': 17356902, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 18, 'avg_no_repeat': 0.11078, 'min_no_repeat': 0, 'max_no_repeat': 8, 'avg_max_streak': 69.74914, 'min_max_streak': 28, 'max_max_streak': 137, 'avg_drr': 221.80402, 'min_drr': 178, 'max_drr': 270, 'total_no_repeat': 11078, 'total_max_streak': 6974914, 'total_drr': 22180402, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 20, 'avg_no_repeat': 0.10302, 'min_no_repeat': 0, 'max_no_repeat': 8, 'avg_max_streak': 87.50816, 'min_max_streak': 38, 'max_max_streak': 158, 'avg_drr': 275.84042, 'min_drr': 220, 'max_drr': 330, 'total_no_repeat': 10302, 'total_max_streak': 8750816, 'total_drr': 27584042, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 22, 'avg_no_repeat': 0.09386, 'min_no_repeat': 0, 'max_no_repeat': 10, 'avg_max_streak': 107.22977, 'min_max_streak': 51, 'max_max_streak': 172, 'avg_drr': 335.78698, 'min_drr': 268, 'max_drr': 396, 'total_no_repeat': 9386, 'total_max_streak': 10722977, 'total_drr': 33578698, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 24, 'avg_no_repeat': 0.0834, 'min_no_repeat': 0, 'max_no_repeat': 10, 'avg_max_streak': 128.96379, 'min_max_streak': 67, 'max_max_streak': 201, 'avg_drr': 401.66638, 'min_drr': 340, 'max_drr': 466, 'total_no_repeat': 8340, 'total_max_streak': 12896379, 'total_drr': 40166638, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 26, 'avg_no_repeat': 0.07894, 'min_no_repeat': 0, 'max_no_repeat': 8, 'avg_max_streak': 152.80169, 'min_max_streak': 90, 'max_max_streak': 227, 'avg_drr': 473.43668, 'min_drr': 402, 'max_drr': 542, 'total_no_repeat': 7894, 'total_max_streak': 15280169, 'total_drr': 47343668, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 28, 'avg_no_repeat': 0.0721, 'min_no_repeat': 0, 'max_no_repeat': 6, 'avg_max_streak': 178.47425, 'min_max_streak': 107, 'max_max_streak': 263, 'avg_drr': 551.02092, 'min_drr': 482, 'max_drr': 626, 'total_no_repeat': 7210, 'total_max_streak': 17847425, 'total_drr': 55102092, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 30, 'avg_no_repeat': 0.06594, 'min_no_repeat': 0, 'max_no_repeat': 8, 'avg_max_streak': 206.3287, 'min_max_streak': 120, 'max_max_streak': 308, 'avg_drr': 634.50804, 'min_drr': 554, 'max_drr': 712, 'total_no_repeat': 6594, 'total_max_streak': 20632870, 'total_drr': 63450804, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 32, 'avg_no_repeat': 0.06304, 'min_no_repeat': 0, 'max_no_repeat': 8, 'avg_max_streak': 235.99573, 'min_max_streak': 151, 'max_max_streak': 332, 'avg_drr': 723.98404, 'min_drr': 636, 'max_drr': 808, 'total_no_repeat': 6304, 'total_max_streak': 23599573, 'total_drr': 72398404, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 34, 'avg_no_repeat': 0.06072, 'min_no_repeat': 0, 'max_no_repeat': 10, 'avg_max_streak': 267.88523, 'min_max_streak': 173, 'max_max_streak': 374, 'avg_drr': 819.30434, 'min_drr': 736, 'max_drr': 914, 'total_no_repeat': 6072, 'total_max_streak': 26788523, 'total_drr': 81930434, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 36, 'avg_no_repeat': 0.05528, 'min_no_repeat': 0, 'max_no_repeat': 6, 'avg_max_streak': 301.65005, 'min_max_streak': 209, 'max_max_streak': 415, 'avg_drr': 920.58712, 'min_drr': 824, 'max_drr': 1024, 'total_no_repeat': 5528, 'total_max_streak': 30165005, 'total_drr': 92058712, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 38, 'avg_no_repeat': 0.05274, 'min_no_repeat': 0, 'max_no_repeat': 6, 'avg_max_streak': 337.24316, 'min_max_streak': 236, 'max_max_streak': 458, 'avg_drr': 1027.41152, 'min_drr': 924, 'max_drr': 1132, 'total_no_repeat': 5274, 'total_max_streak': 33724316, 'total_drr': 102741152, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 40, 'avg_no_repeat': 0.05034, 'min_no_repeat': 0, 'max_no_repeat': 6, 'avg_max_streak': 375.01748, 'min_max_streak': 268, 'max_max_streak': 498, 'avg_drr': 1140.32274, 'min_drr': 1026, 'max_drr': 1246, 'total_no_repeat': 5034, 'total_max_streak': 37501748, 'total_drr': 114032274, 'valid_count': 0, 'valid_percentage': 0.0}
