
Results for maxStreak = 3, noRepeat = 3, repetitions = 100000

{'teams': 4, 'avg_no_repeat': 0.09768, 'min_no_repeat': 0, 'max_no_repeat': 8, 'avg_max_streak': 1.50167, 'min_max_streak': 0, 'max_max_streak': 12, 'avg_drr': 8.03972, 'min_drr': 0, 'max_drr': 20, 'total_no_repeat': 9768, 'total_max_streak': 150167, 'total_drr': 803972, 'valid_count': 186, 'valid_percentage': 0.186}
{'teams': 6, 'avg_no_repeat': 0.05512, 'min_no_repeat': 0, 'max_no_repeat': 14, 'avg_max_streak': 5.24625, 'min_max_streak': 0, 'max_max_streak': 27, 'avg_drr': 20.91566, 'min_drr': 6, 'max_drr': 36, 'total_no_repeat': 5512, 'total_max_streak': 524625, 'total_drr': 2091566, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 8, 'avg_no_repeat': 0.03346, 'min_no_repeat': 0, 'max_no_repeat': 8, 'avg_max_streak': 10.99349, 'min_max_streak': 0, 'max_max_streak': 38, 'avg_drr': 39.69778, 'min_drr': 22, 'max_drr': 60, 'total_no_repeat': 3346, 'total_max_streak': 1099349, 'total_drr': 3969778, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 10, 'avg_no_repeat': 0.02056, 'min_no_repeat': 0, 'max_no_repeat': 6, 'avg_max_streak': 18.74826, 'min_max_streak': 0, 'max_max_streak': 50, 'avg_drr': 64.35496, 'min_drr': 38, 'max_drr': 92, 'total_no_repeat': 2056, 'total_max_streak': 1874826, 'total_drr': 6435496, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 12, 'avg_no_repeat': 0.01354, 'min_no_repeat': 0, 'max_no_repeat': 6, 'avg_max_streak': 28.52255, 'min_max_streak': 5, 'max_max_streak': 66, 'avg_drr': 94.83636, 'min_drr': 62, 'max_drr': 126, 'total_no_repeat': 1354, 'total_max_streak': 2852255, 'total_drr': 9483636, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 14, 'avg_no_repeat': 0.01066, 'min_no_repeat': 0, 'max_no_repeat': 6, 'avg_max_streak': 40.24959, 'min_max_streak': 8, 'max_max_streak': 90, 'avg_drr': 131.31376, 'min_drr': 94, 'max_drr': 170, 'total_no_repeat': 1066, 'total_max_streak': 4024959, 'total_drr': 13131376, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 16, 'avg_no_repeat': 0.0079, 'min_no_repeat': 0, 'max_no_repeat': 6, 'avg_max_streak': 53.998, 'min_max_streak': 17, 'max_max_streak': 115, 'avg_drr': 173.5838, 'min_drr': 130, 'max_drr': 214, 'total_no_repeat': 790, 'total_max_streak': 5399800, 'total_drr': 17358380, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 18, 'avg_no_repeat': 0.00652, 'min_no_repeat': 0, 'max_no_repeat': 6, 'avg_max_streak': 69.771, 'min_max_streak': 29, 'max_max_streak': 127, 'avg_drr': 221.8249, 'min_drr': 180, 'max_drr': 270, 'total_no_repeat': 652, 'total_max_streak': 6977100, 'total_drr': 22182490, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 20, 'avg_no_repeat': 0.00544, 'min_no_repeat': 0, 'max_no_repeat': 4, 'avg_max_streak': 87.57575, 'min_max_streak': 39, 'max_max_streak': 149, 'avg_drr': 275.83758, 'min_drr': 222, 'max_drr': 326, 'total_no_repeat': 544, 'total_max_streak': 8757575, 'total_drr': 27583758, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 22, 'avg_no_repeat': 0.0044, 'min_no_repeat': 0, 'max_no_repeat': 6, 'avg_max_streak': 107.20632, 'min_max_streak': 50, 'max_max_streak': 175, 'avg_drr': 335.78268, 'min_drr': 276, 'max_drr': 394, 'total_no_repeat': 440, 'total_max_streak': 10720632, 'total_drr': 33578268, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 24, 'avg_no_repeat': 0.00322, 'min_no_repeat': 0, 'max_no_repeat': 4, 'avg_max_streak': 128.97112, 'min_max_streak': 67, 'max_max_streak': 205, 'avg_drr': 401.7172, 'min_drr': 338, 'max_drr': 464, 'total_no_repeat': 322, 'total_max_streak': 12897112, 'total_drr': 40171720, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 26, 'avg_no_repeat': 0.00282, 'min_no_repeat': 0, 'max_no_repeat': 4, 'avg_max_streak': 152.71999, 'min_max_streak': 88, 'max_max_streak': 231, 'avg_drr': 473.48154, 'min_drr': 400, 'max_drr': 544, 'total_no_repeat': 282, 'total_max_streak': 15271999, 'total_drr': 47348154, 'valid_count': 0, 'valid_percentage': 0.0}
