Results for maxStreak = 3, noRepeat = 5

{'teams': 4, 'avg_no_repeat': 0.0, 'min_no_repeat': 0, 'max_no_repeat': 0, 'avg_max_streak': 1.499092, 'min_max_streak': 0, 'max_max_streak': 12, 'avg_drr': 8.033308, 'min_drr': 0, 'max_drr': 20, 'total_no_repeat': 0, 'total_max_streak': 1499092, 'total_drr': 8033308, 'valid_count': 1953, 'valid_percentage': 0.1953}
{'teams': 6, 'avg_no_repeat': 0.001498, 'min_no_repeat': 0, 'max_no_repeat': 8, 'avg_max_streak': 5.252857, 'min_max_streak': 0, 'max_max_streak': 29, 'avg_drr': 20.926448, 'min_drr': 4, 'max_drr': 40, 'total_no_repeat': 1498, 'total_max_streak': 5252857, 'total_drr': 20926448, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 8, 'avg_no_repeat': 0.000578, 'min_no_repeat': 0, 'max_no_repeat': 6, 'avg_max_streak': 10.996173, 'min_max_streak': 0, 'max_max_streak': 43, 'avg_drr': 39.678456, 'min_drr': 18, 'max_drr': 62, 'total_no_repeat': 578, 'total_max_streak': 10996173, 'total_drr': 39678456, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 10, 'avg_no_repeat': 0.00021, 'min_no_repeat': 0, 'max_no_repeat': 4, 'avg_max_streak': 18.751781, 'min_max_streak': 0, 'max_max_streak': 54, 'avg_drr': 64.338494, 'min_drr': 36, 'max_drr': 94, 'total_no_repeat': 210, 'total_max_streak': 18751781, 'total_drr': 64338494, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 12, 'avg_no_repeat': 0.000114, 'min_no_repeat': 0, 'max_no_repeat': 4, 'avg_max_streak': 28.500381, 'min_max_streak': 3, 'max_max_streak': 75, 'avg_drr': 94.873282, 'min_drr': 60, 'max_drr': 130, 'total_no_repeat': 114, 'total_max_streak': 28500381, 'total_drr': 94873282, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 14, 'avg_no_repeat': 6e-05, 'min_no_repeat': 0, 'max_no_repeat': 4, 'avg_max_streak': 40.266626, 'min_max_streak': 6, 'max_max_streak': 92, 'avg_drr': 131.284318, 'min_drr': 92, 'max_drr': 172, 'total_no_repeat': 60, 'total_max_streak': 40266626, 'total_drr': 131284318, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 16, 'avg_no_repeat': 3.2e-05, 'min_no_repeat': 0, 'max_no_repeat': 4, 'avg_max_streak': 53.995545, 'min_max_streak': 13, 'max_max_streak': 109, 'avg_drr': 173.59233, 'min_drr': 126, 'max_drr': 222, 'total_no_repeat': 32, 'total_max_streak': 53995545, 'total_drr': 173592330, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 18, 'avg_no_repeat': 1.8e-05, 'min_no_repeat': 0, 'max_no_repeat': 2, 'avg_max_streak': 69.748419, 'min_max_streak': 22, 'max_max_streak': 134, 'avg_drr': 221.78432, 'min_drr': 170, 'max_drr': 276, 'total_no_repeat': 18, 'total_max_streak': 69748419, 'total_drr': 221784320, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 20, 'avg_no_repeat': 1.2e-05, 'min_no_repeat': 0, 'max_no_repeat': 2, 'avg_max_streak': 87.503304, 'min_max_streak': 35, 'max_max_streak': 162, 'avg_drr': 275.879152, 'min_drr': 220, 'max_drr': 338, 'total_no_repeat': 12, 'total_max_streak': 87503304, 'total_drr': 275879152, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 22, 'avg_no_repeat': 1.4e-05, 'min_no_repeat': 0, 'max_no_repeat': 6, 'avg_max_streak': 107.214653, 'min_max_streak': 46, 'max_max_streak': 188, 'avg_drr': 335.83804, 'min_drr': 270, 'max_drr': 406, 'total_no_repeat': 14, 'total_max_streak': 107214653, 'total_drr': 335838040, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 24, 'avg_no_repeat': 6e-06, 'min_no_repeat': 0, 'max_no_repeat': 4, 'avg_max_streak': 128.994917, 'min_max_streak': 61, 'max_max_streak': 230, 'avg_drr': 401.698254, 'min_drr': 334, 'max_drr': 472, 'total_no_repeat': 6, 'total_max_streak': 128994917, 'total_drr': 401698254, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 26, 'avg_no_repeat': 4e-06, 'min_no_repeat': 0, 'max_no_repeat': 2, 'avg_max_streak': 152.758199, 'min_max_streak': 71, 'max_max_streak': 248, 'avg_drr': 473.396774, 'min_drr': 400, 'max_drr': 550, 'total_no_repeat': 4, 'total_max_streak': 152758199, 'total_drr': 473396774, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 28, 'avg_no_repeat': 2e-06, 'min_no_repeat': 0, 'max_no_repeat': 2, 'avg_max_streak': 178.482783, 'min_max_streak': 101, 'max_max_streak': 274, 'avg_drr': 551.02601, 'min_drr': 464, 'max_drr': 640, 'total_no_repeat': 2, 'total_max_streak': 178482783, 'total_drr': 551026010, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 30, 'avg_no_repeat': 2e-06, 'min_no_repeat': 0, 'max_no_repeat': 2, 'avg_max_streak': 206.235556, 'min_max_streak': 120, 'max_max_streak': 304, 'avg_drr': 634.530786, 'min_drr': 548, 'max_drr': 732, 'total_no_repeat': 2, 'total_max_streak': 206235556, 'total_drr': 634530786, 'valid_count': 0, 'valid_percentage': 0.0}
